table,column,primary_key,current,proposed,confidence,kind,row_count
flowsheet,track_title,id=2076200,Hidden Power (Phase Î´),Hidden Power (Phase δ),95,round_trip,1
flowsheet,track_title,id=2183122,JoÅ¡ Jedna Crta,Još Jedna Crta,85,round_trip,1
flowsheet,track_title,id=1995634,PoznajeÅ¡ Li Moje Pravo Lice,Poznaješ Li Moje Pravo Lice,85,round_trip,1
flowsheet,track_title,id=1418247,YalnÄ±zlar RÄ±htÄ±mÄ±,Yalnızlar Rıhtımı,85,round_trip,1
flowsheet,track_title,id=1153975,tno doÉ¹p,tno doɹp,50,round_trip,1
flowsheet,track_title,id=2516074,Å eva,Ševa,85,round_trip,1
flowsheet,track_title,id=2547382,"Å¡to me vikas, Å¡efijo","što me vikas, šefijo",85,round_trip,1
flowsheet,track_title,id=1841212,Ð´Ð²Ð° TWO,два TWO,95,round_trip,1
flowsheet,track_title,id=2333265,å¤¢ä¸­äºº,夢中人,95,round_trip,1
flowsheet,track_title,id=2336988,La Musique Du CÅ?ur,,0,lossy,39
flowsheet,album_title,id=1147529,f#a#â??,,0,lossy,33
flowsheet,track_title,id=1793705,Do It 4 U (feat. Dâ??WN),,0,lossy,31
flowsheet,artist_name,id=2170216,Astrid Ã?ster Mortenson,,0,lossy,12
flowsheet,track_title,id=2123406,Renée (Who's Driving Your Car?),,0,lossy,12
flowsheet,track_title,id=1918113,Wsyzstkie Wschody StoÅ?ca,,0,lossy,11
flowsheet,artist_name,id=1537009,Joint Dâ?,,0,lossy,10
flowsheet,track_title,id=1551807,Adem OÄ?lu KÄ±zgÄ±n FÄ±rÄ±n Havva KÄ±zÄ± Mercimek,,0,lossy,9
flowsheet,track_title,id=1684533,Catastrophe â??,,0,lossy,8
flowsheet,track_title,id=2042809,ObsesioÌ?n RomaÌ?ntica,,0,lossy,8
flowsheet,track_title,id=1413718,Te Odio (¿Te Amo?),,0,lossy,8
flowsheet,album_title,id=1508394,æ?°ã??ã??æ?¥ã?®èª?ç?? (Birth of a New Day),,0,lossy,7
flowsheet,track_title,id=1857220,Tik - Tak Å? Aurorina Seleve,,0,lossy,7
flowsheet,track_title,id=1453904,á??á?©á?«á??á?¡ á??á?¡á?·á??á?³á?« á??á?µá??á?³á?· á??á?©á?¯á??á?µ,,0,lossy,7
flowsheet,album_title,id=1564669,For Those Of You Who Have Never (And Also Those Who Have) â??,,0,lossy,5
flowsheet,album_title,id=1159619,La Musique Ã?lectronique Du Niger,,0,lossy,4
flowsheet,album_title,id=2393259,"Pacific Breeze: Japanese City Pop, AOR, and Boogie 1976â??1986",,0,lossy,4
flowsheet,artist_name,id=2169756,SIW SJÃ?BERG,,0,lossy,4
flowsheet,track_title,id=2394001,Widen Spytâ?? (Vienna Is Sleeping),,0,lossy,4
flowsheet,album_title,id=1888803,v/a - japanese ambient new age (1980â??1990),,0,lossy,3
flowsheet,album_title,id=2160256,Ã?coute...,,0,lossy,3
flowsheet,album_title,id=1661539,æ?°ã??ã??æ?¥ã?®èª?ç??,,0,lossy,3
flowsheet,album_title,id=1657404,æ?±æ?¹ä¸?æ??,,0,lossy,3
flowsheet,artist_name,id=1338945,$1??£¥,,0,lossy,3
flowsheet,artist_name,id=2099328,Hafiz AÅ?ir Efendi,,0,lossy,3
flowsheet,artist_name,id=1587664,Haruomi Hosono â??,,0,lossy,3
flowsheet,record_label,id=1657043,Empreintes Digitales â??,,0,lossy,3
flowsheet,record_label,id=1607313,Spazio Disponibile â??,,0,lossy,3
flowsheet,track_title,id=2495936,Good Feeling (Mr Gâ??s Turn On Dub),,0,lossy,3
flowsheet,track_title,id=2063359,Itâ??s A Shame,,0,lossy,3
flowsheet,track_title,id=2075979,Iâ??m Not Sayinâ??,,0,lossy,3
flowsheet,track_title,id=2372213,Mr. Grammarticalogy â?? Lisationalism is the Boss,,0,lossy,3
flowsheet,track_title,id=2319284,Plus Jamais Ã?a,,0,lossy,3
flowsheet,track_title,id=2078161,Ã?ltima instancia,,0,lossy,3
flowsheet,track_title,id=1565545,æ?¢å¤?,,0,lossy,3
flowsheet,track_title,id=2269614,ì?¬ë¦?: ëª¨í?¸í?¨ ì??ì?? ë?? / 2ì??ì?¥ / ë??ì??ì¤? ë??ê°? ë??ë©´ ë??ì??ì£¼ê¸° (Concerto),,0,lossy,3
flowsheet,album_title,id=2294422,Aqui Ã? Portugal,,0,lossy,2
flowsheet,album_title,id=2289927,Because Youâ??re Mine Hits & Rarities,,0,lossy,2
flowsheet,album_title,id=2107575,Carregando A Vida AtraÌ?s Das Costas,,0,lossy,2
flowsheet,album_title,id=1391828,CieÅ? Chmury Nad Ukrytym Polem,,0,lossy,2
flowsheet,album_title,id=2289932,God Donâ??t Never Change: The Songs of Blind Willie Johnson,,0,lossy,2
flowsheet,album_title,id=1269730,I Have To Paint My Face: Mississippi Blues â?? 1960,,0,lossy,2
flowsheet,album_title,id=1152801,Moog - The Electric Eclectics Of Dick Hyman â??,,0,lossy,2
flowsheet,album_title,id=2328552,"Praise the Lord!â??Gospel Music in Washington, DC",,0,lossy,2
flowsheet,album_title,id=2447253,Preacherâ??s Daughter,,0,lossy,2
flowsheet,album_title,id=2384226,"Springtime in New York: The Bootleg Series, Vol. 16: 1980â??1985",,0,lossy,2
flowsheet,album_title,id=2371825,The NID Tapes: Electronic Music From India 1969â??1972,,0,lossy,2
flowsheet,album_title,id=427427,"Tout Seul Dans la Forêt en Plein Jour, Avez-Vous Peur?",,0,lossy,2
flowsheet,album_title,id=1605501,"V/A â??â?? Music, Awareness & Solidarity w/ Rojava Revolution",,0,lossy,2
flowsheet,album_title,id=2277643,Ã?thiopiques 5: Tigrigna Music 1970-1975,,0,lossy,2
flowsheet,album_title,id=2469793,Ã?thiopiques Vol. 4,,0,lossy,2
flowsheet,album_title,id=2170765,Ð´Ð»Ñ? FOR,,0,lossy,2
flowsheet,artist_name,id=2050164,BÃ?RNS,,0,lossy,2
flowsheet,artist_name,id=2214435,Dina Ã?gon,,0,lossy,2
flowsheet,artist_name,id=1682859,Ellery Eskelin / Dave Ballou / Michael Formanek / Devin Gray â??,,0,lossy,2
flowsheet,artist_name,id=1644201,Elliphant ft. MÃ?,,0,lossy,2
flowsheet,artist_name,id=2182397,TONÃ?L,,0,lossy,2
flowsheet,artist_name,id=1196714,Ã?,,0,lossy,2
flowsheet,artist_name,id=1509587,Ã?ke Parmerud,,0,lossy,2
flowsheet,artist_name,id=807866,Ð?ÐºÐ°Ñ?ÐµÑ?Ð¸Ð½Ð°,,0,lossy,2
flowsheet,artist_name,id=1801762,Ñ?Ð¿Ñ?Ð±,,0,lossy,2
flowsheet,artist_name,id=2061841,æ°´ä¸­ã?¹ã??ã?« (SuichÅ« Supika),,0,lossy,2
flowsheet,record_label,id=1470497,I Dischi Del Barone â??,,0,lossy,2
flowsheet,record_label,id=1284843,Moment Before Impact â??,,0,lossy,2
flowsheet,record_label,id=1362573,Not Not Fun Records â??,,0,lossy,2
flowsheet,record_label,id=1223661,¿What Next? Recordings,,0,lossy,2
flowsheet,track_title,id=2493163,A Good Time Man Like Me Ainâ??t Got No Business (Singinâ?? the Blues),,0,lossy,2
flowsheet,track_title,id=2394013,Anyzette â?? Baladoun (Kamma & Masalo Dub),,0,lossy,2
flowsheet,track_title,id=2545594,Besakihâ??s Embrace,,0,lossy,2
flowsheet,track_title,id=1792630,Cos-Ber-Zam â?? Ne Noya (Daphni Mix),,0,lossy,2
flowsheet,track_title,id=2406639,Do While â??X,,0,lossy,2
flowsheet,track_title,id=2439223,GREY RUBBLE â?? GREEN SHOTS,,0,lossy,2
flowsheet,track_title,id=1972005,Idine Ã?jne,,0,lossy,2
flowsheet,track_title,id=2185966,In Ã?r Gcroithe Go Deo,,0,lossy,2
flowsheet,track_title,id=2066783,Iâ??d Like To Walk Around In Your Mind,,0,lossy,2
flowsheet,track_title,id=1671422,Kuinka Voin Auttaa? -> Tähtitakku,,0,lossy,2
flowsheet,track_title,id=1435929,La Ciolpan cu prispa inaltÄ? (The High Balcony In Ciolpan),,0,lossy,2
flowsheet,track_title,id=2060544,Now That Everythingâ??s Been Said,,0,lossy,2
flowsheet,track_title,id=2482699,Parrandita â??Sariri Tunupaâ??,,0,lossy,2
flowsheet,track_title,id=2083722,Pearl Farano and the High Lites of Joy - Whoâ??s Your Boss,,0,lossy,2
flowsheet,track_title,id=1423218,PÅ?onÄ?Ä?,,0,lossy,2
flowsheet,track_title,id=2077965,Sheâ??s A Rainbow,,0,lossy,2
flowsheet,track_title,id=1887634,TarlabaÅ?Ä± Snake,,0,lossy,2
flowsheet,track_title,id=1600480,Wounded Manâ??yo #36-7,,0,lossy,2
flowsheet,track_title,id=2048494,Youâ??re So Vain,,0,lossy,2
flowsheet,track_title,id=2080902,Ã? Preciso Dizer,,0,lossy,2
flowsheet,track_title,id=1983365,Ã?lom,,0,lossy,2
flowsheet,track_title,id=2080684,Ã?nete A Mi,,0,lossy,2
flowsheet,track_title,id=2513214,Ã?tero,,0,lossy,2
flowsheet,track_title,id=1165810,Ã?tude 3,,0,lossy,2
flowsheet,track_title,id=2361984,Ä?vÄ?z-e abÅ«-atÄ?,,0,lossy,2
flowsheet,track_title,id=1861866,Î?Î?Î¤Î©,,0,lossy,2
flowsheet,track_title,id=2446841,Î?Î·Ï?Ï?,,0,lossy,2
flowsheet,track_title,id=1755944,Ð?Ð¾Ð¹ Ð½Ð¾Ð²Ñ?Ð¹ Ñ?Ñ?Ð¸Ð»Ñ?,,0,lossy,2
flowsheet,track_title,id=1657404,æ?¥å?ºæ?±æ?¹ å?¯æ??ä¸?æ??,,0,lossy,2
flowsheet,track_title,id=1508394,ç??å®?ã?®æ??,,0,lossy,2
flowsheet,album_title,id=2545566,"""NOâ??TITLE AS OF 13 FEBRUARY 2024 28,340 DEAD""",,0,lossy,1
flowsheet,album_title,id=2311342,'helms' bâ??/â??w 'reverie #3',,0,lossy,1
flowsheet,album_title,id=1743860,.â??.â??.â??BECAUSE I'M YOUNG ARROGANT AND HATE EVERYTHING YOU STAND FOR,,0,lossy,1
flowsheet,album_title,id=2386123,1992â??2012 The Anthology,,0,lossy,1
flowsheet,album_title,id=2556325,24 â?? 24 Music: The Definitive Arthur Russell,,0,lossy,1
flowsheet,album_title,id=2082312,7 â??,,0,lossy,1
flowsheet,album_title,id=1407990,?×?×?×? (Whither?),,0,lossy,1
flowsheet,album_title,id=1279945,A Beginnerâ??s Guide To Lucid Dreaming (NEW),,0,lossy,1
flowsheet,album_title,id=2061996,A Pegada Agora Ã? Essa (The Sway Now),,0,lossy,1
flowsheet,album_title,id=2554399,Against All Logic â?? 2012â??2017,,0,lossy,1
flowsheet,album_title,id=1845474,AkÅ?ak,,0,lossy,1
flowsheet,album_title,id=1426899,"Arlette Sibon-Simonovitch Avec Le Concours De Sylvio Gualda : Parmegiani, Mestres-Quadreny â??â?? Espaces Sonores No. 1",,0,lossy,1
flowsheet,album_title,id=1728144,ArÅ?iv Serisi,,0,lossy,1
flowsheet,album_title,id=2528152,Astronautaâ?? Songs of Elis,,0,lossy,1
flowsheet,album_title,id=2039047,Bachmanâ??Turner Overdrive II,,0,lossy,1
flowsheet,album_title,id=1174414,"Berliner Philharmoniker, Herbert von Karajan â??â?? 6. Symphonie",,0,lossy,1
flowsheet,album_title,id=1204875,BiSé??æ®µ (BiSKaidan),,0,lossy,1
flowsheet,album_title,id=2560949,Big Apple Rappinâ??,,0,lossy,1
flowsheet,album_title,id=2304539,"Borga Revolution! Ghanaian Dance Music in the Digital Age, 1983â??1996, Volume 2",,0,lossy,1
flowsheet,album_title,id=2227342,"Brain in a Box: The Science Fiction Collection, Disc 1â??â??Movie Themes",,0,lossy,1
flowsheet,album_title,id=2349509,"Brain in a Box: The Science Fiction Collection, Disc 4â??â??Incidental/Lounge",,0,lossy,1
flowsheet,album_title,id=1997448,C'est Ã?a,,0,lossy,1
flowsheet,album_title,id=2071236,Canâ??t but a thrill,,0,lossy,1
flowsheet,album_title,id=2055307,Cerebral Navigators: Anthology 1993â??-â??1997,,0,lossy,1
flowsheet,album_title,id=1857472,Chamber Works 1992â??2009,,0,lossy,1
flowsheet,album_title,id=1365168,Chiheisen â??,,0,lossy,1
flowsheet,album_title,id=2497178,Chronicle: The Complete Prestige Recordings 1951â??1956,,0,lossy,1
flowsheet,album_title,id=1161479,ChÅ?urs Imaginaires,,0,lossy,1
flowsheet,album_title,id=1161487,Chï¿½?urs Imaginaires,,0,lossy,1
flowsheet,album_title,id=1277542,CieÅ? chmury nad ukrytym polem,,0,lossy,1
flowsheet,album_title,id=1509567,Comme Ã? La Radio,,0,lossy,1
flowsheet,album_title,id=1489004,Cultures Ã?lectroniques 3 - Laureats,,0,lossy,1
flowsheet,album_title,id=1502031,"Deep Shadow: Musics of Indochina & Indonesia, 1920sâ??-â??40s",,0,lossy,1
flowsheet,album_title,id=2444068,DrauÃ?en auf Kaution / Jet Set,,0,lossy,1
flowsheet,album_title,id=2175824,DÃ?BUT,,0,lossy,1
flowsheet,album_title,id=2181894,Eins und Zwei und Drei und Vier: Deutsche Experimentelle Popâ??-â??Musik 1980â??-â??86,,0,lossy,1
flowsheet,album_title,id=2506324,Erased Tapes 20ï½¥ï½¥ï¼?ï¼?ï¼?0,,0,lossy,1
flowsheet,album_title,id=2447239,"Everybody Else Is Doing It, So Why Canâ??t We?",,0,lossy,1
flowsheet,album_title,id=1731950,Everything â?? God Is Love 78,,0,lossy,1
flowsheet,album_title,id=2412298,Ex Fabula I - A Guide to Late Music Releases I â?? X,,0,lossy,1
flowsheet,album_title,id=2009860,EÌ?leÌ?ments Dâ??une Diplomatie FantoÌ?me,,0,lossy,1
flowsheet,album_title,id=1647084,Eâ?¢MOâ?¢TION,,0,lossy,1
flowsheet,album_title,id=2060600,F#A#â??,,0,lossy,1
flowsheet,album_title,id=1477571,F*** De Boere (Dedicated To Johnny Dyani) â??,,0,lossy,1
flowsheet,album_title,id=2326565,Freedomâ??s Goblin,,0,lossy,1
flowsheet,album_title,id=1468811,Fâ?¯ Aâ?¯ â??,,0,lossy,1
flowsheet,album_title,id=1313829,Fâ?¯aâ?¯â??,,0,lossy,1
flowsheet,album_title,id=2060411,G_dâ??s Pee AT STATEâ??S END!,,0,lossy,1
flowsheet,album_title,id=1261806,Genesis â?? Music From The Original Motion Picture Soundtrack,,0,lossy,1
flowsheet,album_title,id=2041005,Hemingwayâ??s Whiskey,,0,lossy,1
flowsheet,album_title,id=1269718,Hommage Ã? Noir,,0,lossy,1
flowsheet,album_title,id=1330597,How to Improve Your Swing in 14 Easy Stepsâ?¦,,0,lossy,1
flowsheet,album_title,id=2233269,I Have To Paint My Face â?? Mississippi Blues,,0,lossy,1
flowsheet,album_title,id=2117252,"I'm Gonna Live Anyhow Until I Die: Alan Lomax's ""Southern Journeyâ??,â??"" 1959â??1960",,0,lossy,1
flowsheet,album_title,id=1812019,ImpressoÌ?es De Uma Ilha,,0,lossy,1
flowsheet,album_title,id=1909739,Ion Series â?? Jamaica,,0,lossy,1
flowsheet,album_title,id=2037921,Iâ??m Allergic To Dogs!,,0,lossy,1
flowsheet,album_title,id=2326576,Iâ??m as Blue as a Man Can Be,,0,lossy,1
flowsheet,album_title,id=2447247,Just A Girl (From The Original Series â??Yellowjacketsâ??),,0,lossy,1
flowsheet,album_title,id=2556960,Kitty Wellsâ?? Country Hit Parade,,0,lossy,1
flowsheet,album_title,id=1091753,Kuka Siellä? (NEW),,0,lossy,1
flowsheet,album_title,id=1419280,L'Ã?toile Absinthe,,0,lossy,1
flowsheet,album_title,id=1238149,L'�?il écoute / Dedans-Dehors,,0,lossy,1
flowsheet,album_title,id=2021066,Larry Levan â?? The Definitive Salsoul Mixes '78-'83,,0,lossy,1
flowsheet,album_title,id=2165547,Letâ??s Skip To The Wedding,,0,lossy,1
flowsheet,album_title,id=2042915,Live - the loomâ??s desire,,0,lossy,1
flowsheet,album_title,id=1784779,Lovin' Mighty Fire (Nippon Funk â?¢ Soul â?¢ Disco 1973-1983),,0,lossy,1
flowsheet,album_title,id=1522162,MAZZMELANCOLIÃ?,,0,lossy,1
flowsheet,album_title,id=1757427,Martyn â?? Fabric 50,,0,lossy,1
flowsheet,album_title,id=1152085,Memoriesâ?¦ Of How It Used To Be,,0,lossy,1
flowsheet,album_title,id=2277459,Minecraft â?? Volume Beta,,0,lossy,1
flowsheet,album_title,id=2335192,New York Noise â?? Dance Music From The New York Underground 1978-82,,0,lossy,1
flowsheet,album_title,id=2023912,O Ã?pice,,0,lossy,1
flowsheet,album_title,id=1947944,OUÃ?,,0,lossy,1
flowsheet,album_title,id=2039056,Oliviaâ??s Greatest Hits Vol. 2,,0,lossy,1
flowsheet,album_title,id=2390625,Orpheu The Wizard â?? The Sound Of Love International #005,,0,lossy,1
flowsheet,album_title,id=2391614,Patti Whipp With The Infinite Blue â?? Walkin' / It's Gone,,0,lossy,1
flowsheet,album_title,id=2080590,Planet Love Vol. 1 - Early Transmissions 1991â??-â??95,,0,lossy,1
flowsheet,album_title,id=2441364,Prelude Toâ?¦,,0,lossy,1
flowsheet,album_title,id=2544057,Psychedelic Sanza 1982â??1984,,0,lossy,1
flowsheet,album_title,id=238873,Qu’ouïs-je? (2000),,0,lossy,1
flowsheet,album_title,id=2183670,Raw (â??That Little Olâ?? Band From Texasâ?? original soundtrack),,0,lossy,1
flowsheet,album_title,id=2525382,Recordings from the Ã?land Islands (IA11 Edition),,0,lossy,1
flowsheet,album_title,id=1757408,Reincarnations Pt. 2 â?? The Remix Chapter 2009-2014,,0,lossy,1
flowsheet,album_title,id=2340531,Roaminâ?? and Ramblinâ??,,0,lossy,1
flowsheet,album_title,id=1373350,Se o Caso Ã? Chorar,,0,lossy,1
flowsheet,album_title,id=2553376,Shut Up â??n Play Yer Guitar,,0,lossy,1
flowsheet,album_title,id=2387986,Silberland - Kosmische Musik Vol 1 (1972â??-â??1986),,0,lossy,1
flowsheet,album_title,id=2175093,Sister Rosetta Tharpe â?? Vol. 2,,0,lossy,1
flowsheet,album_title,id=2382429,Skew It on the Barâ??B,,0,lossy,1
flowsheet,album_title,id=1805699,Snow Solo Piano Show â?? Phase I: Piano Antique,,0,lossy,1
flowsheet,album_title,id=2489828,Soul Jazz Records presents SECRET SUPERSTAR SOUNDS â?? Scraping Bubblegum Off My Soul 1977-80,,0,lossy,1
flowsheet,album_title,id=2250117,Special Herbs: The Box Set Vol. 0â??9,,0,lossy,1
flowsheet,album_title,id=1962307,SviÄ?a Mi Se Da Ti Ne Bude Prijatno,,0,lossy,1
flowsheet,album_title,id=2042911,Swing when youâ??re winning,,0,lossy,1
flowsheet,album_title,id=1574762,"Take It To The Streets / Flipmode Enemy #1 â??(12"", Promo)",,0,lossy,1
flowsheet,album_title,id=2432440,Tell Me Iâ??m Dreaming,,0,lossy,1
flowsheet,album_title,id=2197619,"Thatâ??s What Happened 1982â??1985: The Bootleg Series, Vol. 7",,0,lossy,1
flowsheet,album_title,id=2129493,The Analysis Of Selfâ??-â??Destruction,,0,lossy,1
flowsheet,album_title,id=1233629,The Classic Louisiana Recordings â?¢ Cajun & Creole Music 1934/1937,,0,lossy,1
flowsheet,album_title,id=2421989,The Head As Formâ??d In The Crierâ??s Choir,,0,lossy,1
flowsheet,album_title,id=2351767,The Hermetic Organ Volume 11â?? For Terry Riley,,0,lossy,1
flowsheet,album_title,id=1192542,"The Noise ã?¶ã?»ã??ã?¤ã?º - 30th Anniversary - 1979-2009 (1979, 2009)",,0,lossy,1
flowsheet,album_title,id=2039059,The Voice of the Sparrow: The Very Best of Ã?dith Piaf,,0,lossy,1
flowsheet,album_title,id=2333416,Theatre of the Absurd presents Câ??est La Vie,,0,lossy,1
flowsheet,album_title,id=2517402,Tomorrowâ??s Fashions: Library Electronica 1972-1987,,0,lossy,1
flowsheet,album_title,id=614781,"Tout Seui Dans la Forêt en Plein Jour, Avez-Vous Peur?",,0,lossy,1
flowsheet,album_title,id=2511705,Toã?»Kiã?»Meã?»Ki,,0,lossy,1
flowsheet,album_title,id=2461903,Triserica NeagrÇ?,,0,lossy,1
flowsheet,album_title,id=1731560,Twenty-Three Carillon Sudokus (Number Made Visible â?? Number Made Audible),,0,lossy,1
flowsheet,album_title,id=1465478,Unagi Patrol / Microstudio â??Split,,0,lossy,1
flowsheet,album_title,id=1737490,V/A â?? Lagos Disco Inferno,,0,lossy,1
flowsheet,album_title,id=1762233,V/A â?? Pop Makossa: The Invasive Dance Bet of Cameroon 1976-1984,,0,lossy,1
flowsheet,album_title,id=2183122,VA â?¢ JUGOTRONIC â?¢ EP,,0,lossy,1
flowsheet,album_title,id=2460467,Vande MÄ?taram,,0,lossy,1
flowsheet,album_title,id=2289944,"Various â?? Moonstompers, Shufflers And Skankers... Ska",,0,lossy,1
flowsheet,album_title,id=1812023,Various â??â?? Gongs And Vocals Music From Sumatra,,0,lossy,1
flowsheet,album_title,id=2398656,WHAT WE DREW ì?°ë¦¬ê°? ê·¸ë ¤ì??ë??,,0,lossy,1
flowsheet,album_title,id=2340513,Youâ??re Living All Over Me,,0,lossy,1
flowsheet,album_title,id=1545807,ZamknÄ?Å?y SiÄ? Oczy Ziemi,,0,lossy,1
flowsheet,album_title,id=1995634,Zdenka KovaÄ?iÄ?ek,,0,lossy,1
flowsheet,album_title,id=1744251,Zimpelâ??/â??ZioÅ?ek,,0,lossy,1
flowsheet,album_title,id=1288095,[sen'seiâ?«n deÎ¸],,0,lossy,1
flowsheet,album_title,id=2089365,"earth, wind, & fire â?? greatest hits",,0,lossy,1
flowsheet,album_title,id=2074806,iâ??ll never get out of this world alive,,0,lossy,1
flowsheet,album_title,id=2382706,kingchangÅ?,,0,lossy,1
flowsheet,album_title,id=2085682,meÄ?hul,,0,lossy,1
flowsheet,album_title,id=2089367,sign oâ?? the times,,0,lossy,1
flowsheet,album_title,id=1688467,the meaning of 8 / â??,,0,lossy,1
flowsheet,album_title,id=2026073,the seekers â?? capitol collectorâ??s series,,0,lossy,1
flowsheet,album_title,id=1931838,~â??~â??~,,0,lossy,1
flowsheet,album_title,id=1048333,¿Que Sucede Con El Tiempo?,,0,lossy,1
flowsheet,album_title,id=1248918,¿Que Sucede Con El Tiempo? (1984),,0,lossy,1
flowsheet,album_title,id=1242262,¿como se divertirán los insectos?,,0,lossy,1
flowsheet,album_title,id=2459565,Ã? Vontade,,0,lossy,1
flowsheet,album_title,id=2244408,Ã? o que a casa oferece,,0,lossy,1
flowsheet,album_title,id=1166041,Ã?a Va,,0,lossy,1
flowsheet,album_title,id=2512210,Ã?a va,,0,lossy,1
flowsheet,album_title,id=2395426,Ã?gaertis Byrjun,,0,lossy,1
flowsheet,album_title,id=2079757,Ã?gaetis Byrjun,,0,lossy,1
flowsheet,album_title,id=1249830,Ã?nigma,,0,lossy,1
flowsheet,album_title,id=2093946,Ã?thiopiques,,0,lossy,1
flowsheet,album_title,id=2147025,Ã?thiopiques 11,,0,lossy,1
flowsheet,album_title,id=2503792,Ã?thiopiques 13: Ethiopian Groove - The Golden Seventies,,0,lossy,1
flowsheet,album_title,id=2175851,Ã?thiopiques 21: Piano Solo,,0,lossy,1
flowsheet,album_title,id=2340936,Ã?thiopiques 4: Ethio Jazz & Musique Instrumentale 1969-1974,,0,lossy,1
flowsheet,album_title,id=2139032,Ã?thiopiques 8,,0,lossy,1
flowsheet,album_title,id=2146161,"Ã?thiopiques:tigrigna music, vol. 5",,0,lossy,1
flowsheet,album_title,id=1549328,"Ä°stanbul 70 - Psych, Disco Folk Edits By BariÅ? K - Volume II â??(12"")",,0,lossy,1
flowsheet,album_title,id=1299195,Î?Î?Î? = Î¦ / UVIVI / 1:Î?Ï?4 / ONTA,,0,lossy,1
flowsheet,album_title,id=1477928,Î?Î®Î¸Î·,,0,lossy,1
flowsheet,album_title,id=1644469,Î?ÎºÎ¬Î»Î¿Ï?,,0,lossy,1
flowsheet,album_title,id=1607565,Î?Î¿Î»Î¿Ï?Ï?Î¹Î±Î¯Î¿ Î?Ï?Î½Î±Î¹ÎºÎµÎ¯Î¿ Î?ÎµÏ?Î¬Î»Î¹ (Colossal Female Head),,0,lossy,1
flowsheet,album_title,id=1916273,Ð?Ð­Ð© Ð?Ð?Ð?Ð?Ð?Ð£,,0,lossy,1
flowsheet,album_title,id=1389473,Ð?Ð° Ð Ñ?ÐºÐ°Ñ?Ñ? Ð?Ð°Ð²Ð»Ò?Ð½Ñ?ÐºÑ?Ñ?Ñ?,,0,lossy,1
flowsheet,album_title,id=2538922,Ð?Ð»ÐµÑ?Ð½Ñ?Ð¹ Ð¡Ð°Ð´,,0,lossy,1
flowsheet,album_title,id=2115588,Ð?Ð»Ñ? = For,,0,lossy,1
flowsheet,album_title,id=1396969,Ð?Ð¾Ñ?Ð°Ð½ Ð?Ñ?Ñ?Ð±ÐµÐ³Ð¾Ð²Ð¸Ñ?* Ð? Ð?Ð¾Ñ?Ð°Ð½ Ð§Ñ?Ñ?ÐºÐ¾Ð²Ð¸Ñ?* â??â?? Ð?Ð¸Ñ?Ð¸Ñ?Ðµ Ð¡Ð²ÐµÑ?Ð¾Ð³ Ð¡Ð°Ð²Ðµ,,0,lossy,1
flowsheet,album_title,id=1817194,Ð?Ð¾Ñ?Ð»Ð¸Ð³Ð¾Ð½,,0,lossy,1
flowsheet,album_title,id=1146112,Ð?Ð¾Ñ?Ð»Ð¸Ð³Ð¾Ð½ (NEW),,0,lossy,1
